bag,site,induced,wall,t,dt,dpsi_deg,dp_pub,dp_ant,pred_jump,resid,across_pre,across,along_pre,quality,sats,age_s,cov35,dpsi_imu_deg,imu_turn_2s,stale_candidate,gz_max,cls_imu
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:47.745,1788680087.7450,0.2010,-7.4851,0.0511,0.0083,0.0477,0.0034,-0.0287,-0.0235,-0.0415,4,17,1.0000,0.0001,0.0060,0.0000,False,0.0013,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:48.147,1788680088.1470,0.2010,13.0907,0.0850,0.0019,0.0833,0.0017,0.0461,0.0611,0.0715,4,20,1.0000,0.0001,-0.0010,-0.0120,False,0.0015,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:48.549,1788680088.5490,0.2020,-27.4275,0.1689,0.0083,0.1733,-0.0044,-0.1413,-0.0810,-0.0943,4,20,1.0000,0.0001,-0.0050,-0.0180,False,0.0016,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:48.749,1788680088.7490,0.2010,12.1121,0.0731,0.0051,0.0771,-0.0041,0.0388,0.0505,0.0630,4,20,1.0000,0.0001,-0.0000,-0.0170,False,0.0021,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:48.950,1788680088.9500,0.2010,-14.3487,0.0934,0.0176,0.0913,0.0021,-0.0549,-0.0350,-0.0756,4,20,1.0000,0.0001,0.0030,-0.0150,False,0.0025,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:49.553,1788680089.5530,0.2010,-13.6713,0.0905,0.0049,0.0870,0.0035,-0.0638,-0.0465,-0.0640,4,20,1.0000,0.0001,0.0030,-0.0090,False,0.0017,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:35:00.601,1788680100.6010,0.2020,12.3581,0.0723,0.0064,0.0787,-0.0064,0.0407,0.0522,0.0602,4,23,1.0000,0.0001,-0.0060,-0.0140,False,0.0013,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:51:41.653,1788681101.6530,0.2010,44.4823,0.2757,0.0014,0.2767,-0.0010,0.0848,0.2444,0.2628,4,24,1.0000,0.0001,-0.0070,0.0020,False,0.0016,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:57:02.491,1788681422.4910,0.2010,11.9451,0.0707,0.0075,0.0761,-0.0053,0.0438,0.0542,0.0549,4,23,1.0000,0.0001,-0.0010,0.0080,False,0.0018,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:57:03.094,1788681423.0940,0.2010,-67.5415,0.4014,0.0107,0.4064,-0.0050,-0.3834,-0.0342,-0.1209,4,21,1.0000,0.0001,0.0000,-0.0060,False,0.0010,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:57:31.421,1788681451.4210,0.2000,29.6552,0.1838,0.0074,0.1871,-0.0033,0.0722,0.1464,0.1694,4,23,1.0000,0.0001,0.0090,-0.0070,False,0.0020,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:57:32.625,1788681452.6250,0.2010,9.7388,0.0605,0.0021,0.0621,-0.0015,0.0359,0.0437,0.0489,4,24,1.0000,0.0001,-0.0070,0.0090,False,0.0015,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:03:16.568,1788681796.5680,0.2010,-9.6275,0.0694,0.0083,0.0614,0.0081,-0.0477,-0.0385,-0.0507,4,26,1.0000,0.0001,0.0060,0.0200,False,0.0017,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:11:52.518,1788682312.5180,0.2000,5.4316,0.0511,0.0195,0.0346,0.0165,0.0206,0.0244,0.0467,4,22,1.0000,0.0001,0.0010,0.0060,False,0.0014,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:18:20.491,1788682700.4910,0.2010,-16.5971,0.1096,0.0056,0.1055,0.0040,-0.0789,-0.0542,-0.0756,4,26,1.0000,0.0001,-0.0040,0.0070,False,0.0021,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:22:45.067,1788682965.0670,0.2010,20.6317,0.1141,0.0171,0.1309,-0.0168,0.0587,0.0896,0.0976,4,12,1.0000,0.0001,0.0040,0.0200,False,0.0018,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:22:48.482,1788682968.4820,0.2010,-19.1598,0.1178,0.0065,0.1217,-0.0039,-0.0935,-0.0640,-0.0732,4,17,1.0000,0.0001,0.0090,0.0000,False,0.0022,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:22:49.487,1788682969.4870,0.2010,-8.7938,0.0508,0.0052,0.0560,-0.0052,-0.0357,-0.0296,-0.0355,4,18,1.0000,0.0001,-0.0000,0.0170,False,0.0018,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:22:50.291,1788682970.2910,0.2010,9.2246,0.0620,0.0061,0.0588,0.0032,0.0400,0.0472,0.0470,4,20,1.0000,0.0001,-0.0040,0.0150,False,0.0016,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:22:50.492,1788682970.4920,0.2010,-18.5379,0.1153,0.0049,0.1178,-0.0025,-0.0899,-0.0624,-0.0717,4,20,1.0000,0.0001,0.0020,0.0080,False,0.0015,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:22:52.500,1788682972.5000,0.2010,-7.5012,0.0580,0.0138,0.0478,0.0102,-0.0464,-0.0420,-0.0340,4,22,1.0000,0.0001,-0.0030,-0.0180,False,0.0022,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:22:54.508,1788682974.5080,0.2010,-9.6357,0.0729,0.0116,0.0614,0.0115,-0.0492,-0.0405,-0.0527,4,18,1.0000,0.0001,-0.0040,0.0280,False,0.0014,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:23:05.557,1788682985.5570,0.2010,9.3769,0.0598,0.0042,0.0598,0.0000,0.0376,0.0449,0.0458,4,13,1.0000,0.0001,-0.0030,-0.0010,False,0.0010,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:23:06.561,1788682986.5610,0.2010,9.6032,0.0573,0.0050,0.0612,-0.0039,0.0309,0.0382,0.0491,4,15,1.0000,0.0001,0.0030,0.0170,False,0.0018,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:23:09.574,1788682989.5740,0.2010,6.6266,0.0520,0.0102,0.0423,0.0097,0.0280,0.0330,0.0437,4,14,1.0000,0.0001,-0.0000,0.0150,False,0.0017,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:23:15.602,1788682995.6020,0.2000,9.2493,0.0715,0.0155,0.0589,0.0126,0.0484,0.0568,0.0528,4,16,1.0000,0.0001,0.0060,0.0000,False,0.0017,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:23:17.611,1788682997.6110,0.2010,-6.5500,0.0538,0.0122,0.0418,0.0120,-0.0391,-0.0340,-0.0371,4,15,1.0000,0.0001,-0.0030,0.0240,False,0.0011,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 16:24:27.521,1788683067.5210,0.2000,9.0518,0.0533,0.0045,0.0577,-0.0044,0.0318,0.0380,0.0428,4,20,1.0000,0.0001,-0.0080,-0.0150,False,0.0016,slow
run_20260907_2026-09-07-13-15-11,concrete yard,0,2026-09-07 13:50:08.536,1788760208.5360,0.2010,33.3295,0.2103,0.0011,0.2097,0.0007,0.0833,0.1753,0.1939,4,15,1.0000,0.0001,-0.0050,0.0130,False,0.0015,slow
run_20260907_2026-09-07-13-15-11,concrete yard,0,2026-09-07 13:57:36.448,1788760656.4480,0.2010,8.3504,0.0509,0.0049,0.0532,-0.0023,0.0329,0.0384,0.0389,4,10,1.0000,0.0001,0.1060,1.8170,False,0.0445,straight
run_20260907_2026-09-07-13-15-11,concrete yard,0,2026-09-07 13:57:38.656,1788760658.6560,0.2010,22.1035,0.1490,0.0153,0.1401,0.0088,0.0606,0.1074,0.1356,4,12,1.0000,0.0001,-0.0110,0.0620,False,0.0461,slow
run_20260907_2026-09-07-13-15-11,concrete yard,0,2026-09-07 13:57:38.856,1788760658.8560,0.2000,-9.4654,0.0598,0.0039,0.0603,-0.0006,-0.0444,-0.0376,-0.0396,4,12,1.0000,0.0001,0.0760,0.2110,False,0.0511,slow
run_20260907_2026-09-07-13-15-11,concrete yard,0,2026-09-07 13:57:41.466,1788760661.4660,0.2000,-15.1960,0.0959,0.0038,0.0967,-0.0008,-0.0732,-0.0544,-0.0622,4,21,1.0000,0.0001,0.0030,-0.0700,False,0.0015,straight
run_20260907_2026-09-07-13-15-11,concrete yard,0,2026-09-07 13:57:42.469,1788760662.4690,0.2000,-22.4019,0.1403,0.0025,0.1420,-0.0017,-0.1085,-0.0660,-0.0886,4,25,1.0000,0.0001,0.0020,-0.0080,False,0.0015,straight
run_20260907_2026-09-07-13-15-11,concrete yard,0,2026-09-07 13:59:28.468,1788760768.4680,0.2010,25.4285,0.1755,0.0180,0.1609,0.0146,0.0704,0.1326,0.1602,4,20,1.0000,0.0001,-0.8360,-8.5570,False,0.0809,turn
run_20260907_2026-09-07-14-19-47,concrete yard,0,2026-09-07 14:25:43.636,1788762343.6360,0.2010,-52.5550,0.3248,0.0012,0.3237,0.0012,-0.2980,-0.0773,-0.1309,4,21,1.0000,0.0001,-0.0010,0.0010,False,0.0033,straight
run_20260909_2026-09-09-07-56-42,orchard,0,2026-09-09 08:13:06.502,1788912786.5020,0.2010,10.4105,0.0681,0.0022,0.0663,0.0017,0.0377,0.0473,0.0571,4,27,1.0000,0.0001,-0.0080,0.0090,False,0.0021,slow
run_20260909_2026-09-09-07-56-42,orchard,0,2026-09-09 08:13:07.709,1788912787.7090,0.2040,-13.5914,0.0852,0.0030,0.0865,-0.0013,-0.0636,-0.0488,-0.0568,4,29,1.0000,0.0001,0.0010,0.0190,False,0.0016,slow
run_20260909_2026-09-09-07-56-42,orchard,0,2026-09-09 08:13:15.538,1788912795.5380,0.2000,-13.7737,0.0850,0.0029,0.0877,-0.0027,-0.0609,-0.0455,-0.0581,4,29,1.0000,0.0001,-0.0000,0.0000,False,,slow
run_20260909_2026-09-09-07-56-42,orchard,0,2026-09-09 08:13:16.542,1788912796.5420,0.2010,18.0456,0.1159,0.0018,0.1147,0.0012,0.0606,0.0883,0.0991,4,28,1.0000,0.0001,-0.0000,0.0000,False,,slow
run_20260912_2026-09-12-13-58-05,concrete yard,0,2026-09-12 15:41:49.361,1789198909.3610,0.2000,7.6676,0.0597,0.0123,0.0489,0.0108,0.0410,0.0458,0.0440,4,27,1.0000,0.0001,-0.0040,0.0040,False,0.0019,slow
