rule,bag,wall,frames,size_m,dpsi_vs_last_published,d_ant_m,gap_s,reanchor
v2 g=10,run_20260909_2026-09-09-07-19-13,2026-09-09 07:45:36.256,1,0.0943,16.94,0.0133,0.4,1
v2 g=10,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:07.909,2,0.0832,-13.37,0.002,0.2,1
v2 g=10,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:16.944,2,0.1159,18.08,0.0014,0.2,1
v2 g=10,run_20260910_2026-09-10-16-42-10,2026-09-10 17:02:23.756,1,0.0697,-11.37,0.003,0.2,1
v2 g=10,run_20260912_2026-09-12-07-46-55,2026-09-12 08:04:12.285,1,0.1306,22.57,0.013,0.4,1
v2 g=10,run_20260912_2026-09-12-07-46-55,2026-09-12 08:18:47.122,1,0.0954,16.2,0.0076,0.2,1
v2 g=10,run_20260912_2026-09-12-07-46-55,2026-09-12 08:26:49.933,1,0.084,-15.11,0.0173,0.2,1
v2 g=10,run_20260912_2026-09-12-13-52-20,2026-09-12 13:55:58.751,1,0.1796,-29.59,0.0071,0.2,1
v2 g=10,run_20260912_2026-09-12-13-58-05,2026-09-12 15:31:31.639,1,0.1717,26.37,0.0051,0.2,1
v2 g=10,run_20260912_2026-09-12-13-58-05,2026-09-12 15:41:49.361,1,0.0597,7.67,0.012,0.2,0
v2 g=10,tight08_0824_2026-08-24-18-56-08,2026-08-24 18:56:14.123,1,0.1336,20.56,0.0042,0.2,1
v2 g=10,tight08_0824_2026-08-24-18-56-08,2026-08-24 19:02:09.286,1,0.0623,-11.65,0.012,0.2,1
v3a g=10,concrete_20260826_2026-08-26-17-52-24,2026-08-26 18:16:20.712,1,0.0767,12.0,0.001,0.2,1
v3a g=10,fusion_20260825_132239_2026-08-25-13-22-39,2026-08-25 13:24:05.317,1,0.1328,20.65,0.0041,0.2,1
v3a g=10,newfield_20260826_2026-08-26-16-36-00,2026-08-26 16:53:26.614,1,0.1088,-16.15,0.0071,0.2,1
v3a g=10,newfield_20260826_2026-08-26-16-36-00,2026-08-26 17:08:18.547,1,0.1419,-24.48,0.014,0.2,1
v3a g=10,orchard_20260826_2026-08-26-08-31-44,2026-08-26 08:33:04.227,1,0.0882,-13.63,0.0022,0.2,1
v3a g=10,orchard_20260826_2026-08-26-08-31-44,2026-08-26 08:40:44.376,1,0.0631,9.4,0.0073,0.2,0
v3a g=10,run_20260827_2026-08-27-18-54-23,2026-08-27 18:57:35.721,1,0.0625,9.05,0.0058,0.2,0
v3a g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:21:42.354,1,0.1354,21.95,0.005,0.2,1
v3a g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:27:42.652,1,0.0514,7.6,0.0072,0.8,1
v3a g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:31.629,2,0.0613,9.94,0.0036,0.2,1
v3a g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:43:41.694,1,0.1227,18.96,0.0151,0.2,1
v3a g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:19.622,1,0.0784,-9.45,0.0188,0.2,0
v3a g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:02:44.664,1,0.0658,-9.21,0.01,0.2,0
v3a g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:09:37.810,1,0.0542,6.19,0.0189,0.4,0
v3a g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:12:24.231,1,0.0527,-6.81,0.0098,0.2,0
v3a g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:52.960,1,0.061,8.08,0.0143,0.2,0
v3a g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:33:06.538,1,0.0523,6.85,0.0099,0.2,0
v3a g=10,run_20260830_2026-08-30-10-12-33,2026-08-30 10:13:37.156,1,0.1266,19.36,0.0041,0.2,1
v3a g=10,run_20260830_2026-08-30-10-12-33,2026-08-30 10:14:00.055,2,0.0683,-10.65,0.001,0.2,1
v3a g=10,run_20260906_2026-09-06-08-28-44,2026-09-06 08:42:22.709,1,0.1075,16.65,0.0022,0.2,1
v3a g=10,run_20260906_2026-09-06-08-43-55,2026-09-06 08:59:49.185,1,0.1074,16.11,0.005,0.2,1
v3a g=10,run_20260906_2026-09-06-08-43-55,2026-09-06 08:59:57.013,1,0.1384,24.42,0.0166,0.2,1
v3a g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:33:51.495,1,0.0524,8.2,0.003,0.2,0
v3a g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:39.711,1,0.0519,-8.92,0.005,0.2,0
v3a g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:03:16.568,1,0.0693,-9.63,0.0081,0.2,0
v3a g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:05:55.675,1,0.0818,-9.79,0.02,0.2,0
v3a g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:11:52.518,1,0.0516,5.43,0.0197,0.2,0
v3a g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:20:06.562,1,0.1276,-22.2,0.016,105.87,1
v3a g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:22:50.291,1,0.0612,9.22,0.0057,0.2,0
v3a g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:08.568,2,0.0576,-9.05,0.0032,17.88,1
v3a g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:15.602,2,0.0712,9.25,0.015,0.2,0
v3a g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:39.659,1,0.0635,9.19,0.0151,0.8,1
v3a g=10,run_20260909_2026-09-09-07-19-13,2026-09-09 07:26:14.270,1,0.1129,20.24,0.0178,0.2,1
v3a g=10,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:06.904,1,0.0507,8.03,0.002,0.2,0
v3a g=10,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:32.610,1,0.0811,-12.83,0.003,24.7,1
v3a g=10,run_20260910_2026-09-10-16-42-10,2026-09-10 17:02:23.957,1,0.0667,-11.1,0.0041,0.2,1
v3a g=10,run_20260912_2026-09-12-13-58-05,2026-09-12 15:31:29.028,1,0.1526,-22.88,0.0187,0.2,1
v3a g=10,run_20260912_2026-09-12-13-58-05,2026-09-12 15:41:49.361,1,0.0597,7.67,0.012,0.2,0
v3a g=10,tight08_0824_2026-08-24-18-56-08,2026-08-24 18:56:14.324,1,0.1318,20.61,0.0014,0.4,1
v3b g=10,newfield_20260826_2026-08-26-16-36-00,2026-08-26 16:53:26.814,1,0.1087,-16.69,0.005,0.4,1
v3b g=10,orchard_20260826_2026-08-26-08-31-44,2026-08-26 08:40:44.376,1,0.0631,9.4,0.0073,0.2,0
v3b g=10,run_20260827_2026-08-27-18-54-23,2026-08-27 18:57:35.721,1,0.0625,9.05,0.0058,0.2,0
v3b g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:27:42.250,1,0.0677,10.39,0.0022,0.4,1
v3b g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:32.635,1,0.0529,8.96,0.005,0.2,0
v3b g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:43:41.895,1,0.1197,18.45,0.013,0.4,1
v3b g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:50:07.121,1,0.0796,12.47,0.001,0.4,1
v3b g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:53:15.447,1,0.0537,8.5,0.0051,0.2,0
v3b g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:56:09.264,1,0.0712,11.09,0.0063,0.4,1
v3b g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:04.766,2,0.0699,13.59,0.018,0.4,1
v3b g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:15.204,2,0.0965,-13.87,0.0094,0.4,1
v3b g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 16:42:43.303,1,0.3514,-57.91,0.0073,0.6,1
v3b g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 16:58:14.228,1,0.1253,21.17,0.0163,0.6,1
v3b g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 16:59:36.137,1,0.0693,8.84,0.015,0.2,0
v3b g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:02:44.664,1,0.0658,-9.21,0.01,0.2,0
v3b g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:09:37.810,1,0.0542,6.19,0.0189,0.4,0
v3b g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:12:24.231,1,0.0527,-6.81,0.0098,0.2,0
v3b g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:52.960,1,0.061,8.08,0.0143,0.2,0
v3b g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:27:41.359,1,0.229,-36.62,0.0014,0.4,1
v3b g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:33:06.538,1,0.0523,6.85,0.0099,0.2,0
v3b g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:12.224,1,0.0937,15.38,0.0041,0.4,1
v3b g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:45.524,1,0.0513,-8.36,0.002,0.2,0
v3b g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:49:02.252,1,0.3538,59.48,0.009,0.4,1
v3b g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:50:26.303,1,0.0522,-9.06,0.0114,0.2,0
v3b g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:51:35.126,1,0.391,-64.59,0.0014,0.4,1
v3b g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:24.274,1,0.188,-27.54,0.017,0.4,1
v3b g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:46.135,2,0.1193,20.97,0.0139,0.4,1
v3b g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:53.357,1,0.1249,-18.92,0.005,0.4,1
v3b g=10,run_20260830_2026-08-30-10-12-33,2026-08-30 10:14:00.255,1,0.0704,-10.97,0.0032,0.4,1
v3b g=10,run_20260830_2026-08-30-17-20-39,2026-08-30 17:32:56.659,1,0.1314,21.05,0.0028,0.2,1
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:33:51.495,1,0.0524,8.2,0.003,0.2,0
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:45.937,6,0.7299,177.32,0.0073,0.4,1
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:35:01.203,1,0.0625,8.21,0.0128,0.4,1
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:51:42.256,1,0.2792,44.91,0.002,0.4,1
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:03.295,1,0.367,-59.11,0.0072,0.6,1
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:31.822,2,0.0721,11.35,0.001,0.4,1
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:03:16.568,1,0.0693,-9.63,0.0081,0.2,0
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:05:55.675,1,0.0818,-9.79,0.02,0.2,0
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:11:52.518,1,0.0516,5.43,0.0197,0.2,0
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:18:21.093,1,0.1102,-17.38,0.0014,0.4,1
