bag,site,induced,t,dt,dpsi_deg,dpsi_imu_deg,cls_imu,has_lidar,n_lidar_win,dpsi_lidar_deg,n_lidar_2s,dpsi_lidar_2s,dpsi_gyro_win_deg,dpsi_gyro_2s_deg,min_fitness_win,min_fitness_2s
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682997.6110,0.2010,-6.5500,-0.0030,slow,1,5,0.0248,20,0.1274,0.1088,0.4889,0.925,0.919
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788683067.5210,0.2000,9.0518,-0.0080,slow,1,5,-0.1444,20,-0.2401,0.1019,0.4974,0.883,0.879
run_20260907_2026-09-07-13-15-11,concrete yard,0,1788760208.5360,0.2010,33.3295,-0.0050,slow,1,5,0.0300,20,0.0576,0.1321,0.4922,0.972,0.956
run_20260907_2026-09-07-13-15-11,concrete yard,0,1788760656.4480,0.2010,8.3504,0.1060,straight,1,5,-0.1851,20,-0.3758,-0.0312,0.3988,0.960,0.928
run_20260907_2026-09-07-13-15-11,concrete yard,0,1788760658.6560,0.2010,22.1035,-0.0110,slow,1,5,-0.2276,20,-0.2465,0.0613,0.4366,0.961,0.945
run_20260907_2026-09-07-13-15-11,concrete yard,0,1788760658.8560,0.2000,-9.4654,0.0760,slow,1,5,-0.2440,20,-0.2765,-0.0105,0.3439,0.954,0.931
run_20260907_2026-09-07-13-15-11,concrete yard,0,1788760661.4660,0.2000,-15.1960,0.0030,straight,1,5,0.0955,20,0.1436,0.1172,0.5016,0.934,0.934
run_20260907_2026-09-07-13-15-11,concrete yard,0,1788760662.4690,0.2000,-22.4019,0.0020,straight,1,5,0.0003,20,0.0780,0.1314,0.5167,0.962,0.952
run_20260907_2026-09-07-13-15-11,concrete yard,0,1788760768.4680,0.2010,25.4285,-0.8360,turn,1,5,1.9808,20,5.4876,1.9137,5.9800,0.960,0.960
run_20260907_2026-09-07-14-19-47,concrete yard,0,1788762343.6360,0.2010,-52.5550,-0.0010,straight,1,5,0.0369,20,0.0098,0.1528,0.6251,0.983,0.978
run_20260909_2026-09-09-07-56-42,orchard,0,1788912786.5020,0.2010,10.4105,-0.0080,slow,1,5,0.3102,20,1.1058,0.0833,0.3956,0.946,0.946
run_20260909_2026-09-09-07-56-42,orchard,0,1788912787.7090,0.2040,-13.5914,0.0010,slow,1,5,0.0034,20,-0.1370,0.1586,0.4877,0.959,0.948
run_20260909_2026-09-09-07-56-42,orchard,0,1788912795.5380,0.2000,-13.7737,-0.0000,slow,1,5,-0.2879,20,-0.4517,0.1190,0.4847,0.954,0.954
run_20260909_2026-09-09-07-56-42,orchard,0,1788912796.5420,0.2010,18.0456,-0.0000,slow,1,5,-0.0278,20,-0.5316,0.0972,0.4403,0.962,0.962
run_20260912_2026-09-12-13-58-05,concrete yard,0,1789198909.3610,0.2000,7.6676,-0.0040,slow,1,5,-0.0409,20,-0.0980,0.1718,0.6581,0.969,0.968
