bag,t,wall,dt_s,hd_pair
concrete_20260826_2026-08-26-17-52-24,1787739153.099,2026-08-26 18:12:33.099,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739153.501,2026-08-26 18:12:33.501,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787739154.303,2026-08-26 18:12:34.303,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739154.303,2026-08-26 18:12:34.303,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739154.704,2026-08-26 18:12:34.704,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739154.707,2026-08-26 18:12:34.707,0.003,1
concrete_20260826_2026-08-26-17-52-24,1787739199.472,2026-08-26 18:13:19.472,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739199.873,2026-08-26 18:13:19.873,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739200.476,2026-08-26 18:13:20.476,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739201.277,2026-08-26 18:13:21.277,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739201.478,2026-08-26 18:13:21.478,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739202.28,2026-08-26 18:13:22.280,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739202.28,2026-08-26 18:13:22.280,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739204.487,2026-08-26 18:13:24.487,0.4,1
concrete_20260826_2026-08-26-17-52-24,1787739204.488,2026-08-26 18:13:24.488,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787739251.458,2026-08-26 18:14:11.458,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739252.259,2026-08-26 18:14:12.259,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739252.661,2026-08-26 18:14:12.661,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739253.262,2026-08-26 18:14:13.262,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739253.263,2026-08-26 18:14:13.263,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787739305.449,2026-08-26 18:15:05.449,0.003,1
concrete_20260826_2026-08-26-17-52-24,1787739306.25,2026-08-26 18:15:06.250,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739306.452,2026-08-26 18:15:06.452,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787739358.436,2026-08-26 18:15:58.436,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739358.836,2026-08-26 18:15:58.836,0.4,1
concrete_20260826_2026-08-26-17-52-24,1787739359.439,2026-08-26 18:15:59.439,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739360.241,2026-08-26 18:16:00.241,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739360.442,2026-08-26 18:16:00.442,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739414.234,2026-08-26 18:16:54.234,0.0,1
